sample,measurement,result_value,result_unit
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220819_3um_2,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220819_3um_2#sea_subsurf_temp,21.517,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220819_3um_2,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220819_3um_2#sea_surf_temp,21.518,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230216_3um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230216_3um_3#sea_subsurf_temp,6.791,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230216_3um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230216_3um_3#sea_surf_temp,6.812,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_221212_0.2um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_221212_0.2um_3#sea_subsurf_temp,8.972,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_221212_0.2um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_221212_0.2um_3#sea_surf_temp,9.135,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230216_0.2um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230216_0.2um_3#sea_subsurf_temp,6.791,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230216_0.2um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_230216_0.2um_3#sea_surf_temp,6.812,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220420_3um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220420_3um_3#sea_subsurf_temp,9.929,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220420_3um_3,http://data.emobon.embrc.eu/observatory-bpns-crate/water/measured/EMOBON_BPNS_Wa_220420_3um_3#sea_surf_temp,9.931,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
