sample,measurement,result_value,result_unit
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220428_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220428_micro_2#sea_surf_temp,17.8,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_210805_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_210805_micro_4#sea_surf_temp,26.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220629_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220629_micro_2#sea_surf_temp,21.7,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211220_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211220_micro_2#sea_surf_temp,15,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211022_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211022_micro_3#sea_surf_temp,19.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220629_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220629_micro_3#sea_surf_temp,21.7,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220224_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220224_micro_2#sea_surf_temp,17.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_210805_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_210805_micro_3#sea_surf_temp,26.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221216_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221216_micro_2#sea_surf_temp,18.2,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220428_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220428_micro_3#sea_surf_temp,17.8,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221021_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221021_micro_4#sea_surf_temp,20.5,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220909_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220909_micro_3#sea_surf_temp,25,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230703_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230703_micro_4#sea_surf_temp,27.7,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220224_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220224_micro_3#sea_surf_temp,17.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220629_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220629_micro_4#sea_surf_temp,21.7,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_210805_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_210805_micro_1#sea_surf_temp,26.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220224_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220224_micro_1#sea_surf_temp,17.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211022_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211022_micro_2#sea_surf_temp,19.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221021_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221021_micro_1#sea_surf_temp,20.5,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211022_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211022_micro_4#sea_surf_temp,19.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230420_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230420_micro_2#sea_surf_temp,20.6,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230703_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230703_micro_1#sea_surf_temp,27.7,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220909_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220909_micro_4#sea_surf_temp,25,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221216_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221216_micro_1#sea_surf_temp,18.2,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220909_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220909_micro_1#sea_surf_temp,25,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230703_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230703_micro_2#sea_surf_temp,27.7,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230420_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230420_micro_1#sea_surf_temp,20.6,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211220_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211220_micro_4#sea_surf_temp,15,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220428_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220428_micro_1#sea_surf_temp,17.8,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221216_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221216_micro_4#sea_surf_temp,18.2,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_210805_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_210805_micro_2#sea_surf_temp,26.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230420_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230420_micro_3#sea_surf_temp,20.6,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_231025_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_231025_micro_4#sea_surf_temp,21,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220909_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220909_micro_2#sea_surf_temp,25,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221021_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221021_micro_2#sea_surf_temp,20.5,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_231025_micro_2,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_231025_micro_2#sea_surf_temp,21,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211022_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211022_micro_1#sea_surf_temp,19.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220629_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220629_micro_1#sea_surf_temp,21.7,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_231025_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_231025_micro_3#sea_surf_temp,21,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221216_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221216_micro_3#sea_surf_temp,18.2,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221021_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_221021_micro_3#sea_surf_temp,20.5,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230703_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230703_micro_3#sea_surf_temp,27.7,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220224_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220224_micro_4#sea_surf_temp,17.3,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211220_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211220_micro_1#sea_surf_temp,15,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211220_micro_3,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_211220_micro_3#sea_surf_temp,15,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_231025_micro_1,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_231025_micro_1#sea_surf_temp,21,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230420_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_230420_micro_4#sea_surf_temp,20.6,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220428_micro_4,http://data.emobon.embrc.eu/observatory-rformosa-crate/sediment/measured/EMOBON_RFormosa_So_220428_micro_4#sea_surf_temp,17.8,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
